Title,Company,Location,Date
"
            
        Security Engineer
      
          ","
            AIQU
          ","
            Riyadh, Saudi Arabia
          ",6/13/2023
"
            
        Senior Frontend Software Engineer
      
          ","
            Beyond Limits
          ","
            Eastern Region
          ",5/29/2023
"
            
        Quality Assurance Engineer / Manual
      
          ","
            Salla E-Commerce Platform
          ","
            Mecca, Makkah, Saudi Arabia
          ",5/9/2023
"
            
        Data Scientist Job Recruitment
      
          ",,"
            Saudi Arabia
          ",5/4/2023
"
            
        Consulting - Technology - FS Tech DevOps Architect
      
          ","
            PwC Middle East
          ","
            Riyadh, Riyadh, Saudi Arabia
          ",6/14/2023
"
            
        Senior Technical Solutions Manager
      
          ","
            Beyond Limits
          ","
            Eastern Region
          ",5/4/2023
"
            
        Technical Lead
      
          ",,"
            Jeddah, Makkah, Saudi Arabia
          ",5/2/2023
"
            
        Technical Architect
      
          ","
            Ampstek
          ","
            Riyadh, Saudi Arabia
          ",6/12/2023
"
            
        Sr. Integration Developer (DP)
      
          ","
            CornerTree
          ","
            Riyadh, Riyadh, Saudi Arabia
          ",5/5/2023
"
            
        Generative AI Consultant/ Manager
      
          ","
            Accenture Middle East
          ","
            Riyadh, Riyadh, Saudi Arabia
          ",6/6/2023
"
            
        Test & Validation Engineer
      
          ","
            SAMI Advanced Electronics 
          ","
            Riyadh, Riyadh, Saudi Arabia
          ",6/7/2023
"
            
        Junior Python Developer (Remote Internship – IT)
      
          ","
            TalentKompass Deutschland
          ","
            Medina, Al Madinah, Saudi Arabia
          ",6/5/2023
"
            
        Solution Architect Integration
      
          ","
            ROSHN l روشن
          ","
            Riyadh, Riyadh, Saudi Arabia
          ",6/12/2023
"
            
        Sustainability and Energy Technologist, Lead/Staff Scientist
      
          ","
            SABIC
          ","
            Riyadh, Saudi Arabia
          ",6/14/2023
"
            
        Senior Software Testing Engineer - KSA
      
          ","
            Foodics
          ","
            Riyadh, Riyadh, Saudi Arabia
          ",4/3/2023
"
            
        Senior Associate, Infrastructure/Cloud Architecture
      
          ","
            Kyndryl
          ","
            Riyadh Region
          ",5/30/2023
"
            
        Sr. Engineer Managed Services
      
          ","
            Salam
          ","
            Riyadh, Saudi Arabia
          ",6/12/2023
"
            
        ICT Teacher, SEEKTEACHERS
      
          ","
            Guardian Jobs
          ","
            Makkah Region
          ",6/6/2023
"
            
        Junior Network Engineer (Remote Internship – IT)
      
          ","
            TalentKompass Deutschland
          ","
            Jiddah, Makkah, Saudi Arabia
          ",6/5/2023
"
            
        Senior Software Engineer - Backend (Golang)
      
          ","
            Cenomi
          ","
            Riyadh, Saudi Arabia
          ",5/24/2023
